Assembly	Serovar
GCA_001155465.1	11A
GCA_901311165.1	1
GCA_900052585.1	18F
GCA_901298435.1	18A
GCA_001127585.1	19A
GCA_900053785.1	6
GCA_900028345.1	NA
GCA_001119425.1	NT
GCA_901309115.1	12F
GCA_901283185.1	23F
GCA_901227205.1	35B
GCA_001144905.1	NT
GCA_901291745.1	15B|15C
GCA_907170865.1	14
GCA_901282995.1	22F
GCA_901227365.1	6B
GCA_901327615.1	14
GCA_900190005.1	6B
GCA_003934465.1	blank
GCA_001334355.1	32A
GCA_901240615.1	33F
GCA_003492585.1	blank
GCA_001330815.1	19F
GCA_901235565.1	19F
GCA_001153485.1	10F
GCA_001343155.1	NT
GCA_901314395.1	34
GCA_901330265.1	5
GCA_900036995.1	19A
GCA_901340875.1	3
GCA_901236545.1	23F
GCA_900064655.2	33F
GCA_901302965.1	6B
GCA_901239625.1	18C
GCA_901284195.1	6A
GCA_901305715.1	15B|15C
GCA_901334785.1	5
GCA_901225875.1	6B
GCA_901332715.1	9V
GCA_001167265.1	19F
GCA_901319575.1	9N
GCA_901289325.1	24
GCA_901329175.1	15B|15C
GCA_901234845.1	4
GCA_001205725.1	14
GCA_900034025.1	NA
GCA_901220425.1	16F
GCA_901326985.1	19A
GCA_901338715.1	15A
GCA_019038975.1	blank
GCA_907167035.1	9V
GCA_900046635.1	NA
GCA_901229745.1	19F
GCA_901257965.1	40
GCA_901233785.1	9L
GCA_901246575.1	33D
GCA_901222985.1	35F
GCA_001136665.1	14
GCA_001164825.2	22F
GCA_901322635.1	19F
GCA_901307855.1	7F
GCA_901241835.1	15B|15C
GCA_001334115.1	NT
GCA_901228655.1	19F
GCA_901214525.1	19F
GCA_900025375.1	NA
GCA_901232255.1	11A
GCA_901265745.1	19A
GCA_901294605.1	34
GCA_901272325.1	9V
GCA_901308585.1	7F
GCA_901341365.1	5
GCA_900056025.2	35B
GCA_001196915.1	19A
GCA_001104945.2	19A
GCA_019399045.1	blank
GCA_901230365.1	NT
GCA_900189225.1	19A
GCA_001344015.1	NT
GCA_901257805.1	40
GCA_009720855.1	blank
GCA_901289425.1	4
GCA_901289165.1	1
GCA_901265525.1	19F
GCA_001132945.1	19F
GCA_001164405.1	38
GCA_001326735.1	3
GCA_901313795.1	15B|15C
GCA_901249045.1	14
GCA_901287875.1	1
GCA_901316605.1	7F
GCA_901275955.1	10A
GCA_001109565.1	32F
GCA_901288635.1	14
GCA_901321345.1	15A
GCA_001122285.1	19F
GCA_001145365.1	13
GCA_901246895.1	19F
GCA_001085165.1	6B
GCA_901266125.1	5
GCA_001147805.1	19F
GCA_900024585.1	NA
GCA_001171285.1	19F
GCA_900021265.1	NA
GCA_901242435.1	6B
GCA_901248105.1	12F
GCA_001144285.1	23F
GCA_001115865.1	14
GCA_901238135.1	4
GCA_901232585.1	1
GCA_901226395.1	9V
GCA_901315245.1	34
GCA_901315115.1	18C
GCA_901217085.1	NT
GCA_901233205.1	23F
GCA_901222145.1	19F
GCA_901330925.1	1
GCA_001347375.1	34
GCA_001148485.1	19F
GCA_901300945.1	11A
GCA_000278765.1	blank
GCA_001126305.1	19F
GCA_901324165.1	22A
GCA_900189705.1	6C
GCA_900171345.1	blank
GCA_901232985.1	20
GCA_901327785.1	19F
GCA_901216295.1	1
GCA_901225155.1	19A
GCA_001117205.1	34
GCA_001174305.1	3
GCA_901218015.1	8
GCA_001200195.1	6A
GCA_001147645.1	23B
GCA_001192015.1	19F
GCA_901219605.1	24
GCA_001164305.1	NT
GCA_901336215.1	5
GCA_901304695.1	12F
GCA_001340655.1	blank
GCA_001329435.1	6B
GCA_901244875.1	20
GCA_901291045.1	15B|15C
GCA_001201875.1	21
GCA_901267475.1	23F
GCA_003044325.1	blank
GCA_907168565.1	9V
GCA_901232365.1	7F
GCA_900052685.2	19A
GCA_900459735.1	not available: to be reported later
GCA_901314505.1	7F
GCA_900031165.1	NA
GCA_901214625.1	19F
GCA_901317535.1	23F
GCA_901320115.1	4
GCA_901339135.1	13
GCA_900189105.1	6A
GCA_901338475.1	23F
GCA_001347555.1	19F
GCA_901254615.1	6B
GCA_901266815.1	19A
GCA_901321625.1	19F
GCA_901327895.1	19F
GCA_001113845.1	NT
GCA_901341945.1	19B
GCA_907171065.1	14
GCA_901265135.1	37
GCA_900189375.1	34
GCA_001199795.1	23F
GCA_901253405.1	35A
GCA_901299435.1	13
GCA_901288015.1	21
GCA_900023965.1	NA
GCA_900692555.1	6A
GCA_901269945.1	6B
GCA_009720955.1	blank
GCA_901214795.1	6B
GCA_001195405.1	12F
GCA_001302115.2	7F
GCA_901319705.1	16F
GCA_901232895.1	1
GCA_901252595.1	23F
GCA_001104245.1	21
GCA_901258455.1	19F
GCA_907167745.1	9V
GCA_901296875.1	1
GCA_001117005.1	NT
GCA_901264625.1	16F
GCA_001084065.1	blank
GCA_901339195.1	33D
GCA_901331025.1	10B
GCA_901214915.1	19F
GCA_001113885.1	6B
GCA_901323915.1	21
GCA_001113805.1	23F
GCA_901243255.1	1
GCA_900024065.1	NA
GCA_907168215.1	14
GCA_900046615.1	NA
GCA_901252435.1	19F
GCA_901226165.1	6A
GCA_901295725.1	9V
GCA_901257745.1	4
GCA_900191245.1	35B
GCA_001171625.1	NT
GCA_901244805.1	15A
GCA_000269665.1	blank
GCA_901267835.1	6A
GCA_900088725.1	blank
GCA_900051295.1	1
GCA_901339855.1	11A
GCA_901292955.1	19F
GCA_901242925.1	6A
GCA_001170525.1	23B
GCA_901290675.1	1
GCA_901283625.1	21
GCA_901300405.1	8
GCA_901307425.1	18A
GCA_900188595.1	17F
GCA_001170045.1	19F
GCA_901283555.1	3
GCA_001116285.1	NT
GCA_901282545.1	19F
GCA_901288415.1	23F
GCA_900054205.2	23B
GCA_901227035.1	3
GCA_901276385.1	15B|15C
GCA_901275505.1	3
GCA_001104445.1	blank
GCA_001202255.1	10A
