gene_locus	mix_len	gene_name
SPC24B_0011	720	abp1
SPC44_0018	1038	fnlA
SPC11B_0018	393	gct
SPC11F_0017	393	gct
SPC24B_0023	594	rmlC
SPC01_0020	852	rmlD
SPC37_0010	1041	wciC
SPC39_0011	969	wciE
SPC37_0016	999	wciG
SPC18B_0015	1002	wciX
SPC15A_0016	978	wciZ
SPC15C_0016	978	wciZ
SPC09A_0019	1026	wcjE
SPC09L_0017	1026	wcjE
SPC09N_0017	1026	wcjE
SPC11F_0018	1026	wcjE
SPC33F_0018	1026	wcjE
SPC37_0018	1026	wcjE
SPC10C_0013	990	wcrD
SPC10F_0013	990	wcrD
SPC35A_0013	906	wcrK
SPC41A_0016	681	wcrX
SPC07A_0012	963	wcwD
SPC13_0011	1140	whaG
SPC03_0007	666	wze
SPC03_0004	1422	wzg
SPC03_0005	732	wzh
